task,dense_accuracy,dense_centered,sparse_accuracy,sparse_centered,sparse_zero_frac
hellaswag_zeroshot,0.617905,0.490540,0.605158,0.473544,0.691851
jeopardy,0.152102,0.152102,0.150685,0.150685,0.652009
bigbench_qa_wikidata,0.513016,0.513016,0.505093,0.505093,0.653015
arc_easy,0.720960,0.627946,0.706650,0.608866,0.695617
arc_challenge,0.426621,0.235495,0.409556,0.212742,0.694000
copa,0.640000,0.280000,0.680000,0.360000,0.674135
commonsense_qa,0.320229,0.150287,0.286650,0.108313,0.718382
piqa,0.769314,0.538629,0.753536,0.507073,0.691430
openbook_qa,0.432000,0.242667,0.414000,0.218667,0.680535
lambada_openai,0.468077,0.468077,0.469629,0.469629,0.661672
hellaswag,0.620494,0.493992,0.612428,0.483237,0.682871
winograd,0.681319,0.362637,0.736264,0.472528,0.670936
winogrande,0.602999,0.205998,0.607735,0.215470,0.669784
bigbench_dyck_languages,0.131000,0.131000,0.116000,0.116000,0.759479
agi_eval_lsat_ar,0.221739,0.027174,0.221739,0.027174,0.721194
bigbench_cs_algorithms,0.393939,0.393939,0.443182,0.443182,0.731411
bigbench_operators,0.176190,0.176190,0.190476,0.190476,0.735338
bigbench_repeat_copy_logic,0.000000,0.000000,0.000000,0.000000,0.708873
squad,0.463387,0.463387,0.482025,0.482025,0.678689
coqa,0.342227,0.342227,0.350370,0.350370,0.684458
boolq,0.637920,0.047159,0.613150,-0.018027,0.677559
bigbench_language_identification,0.247700,0.172387,0.248100,0.172827,0.676169
CORE,,0.296130,,0.297722,
